step,energy
0,0.06851460442186792
1,-0.04339603409651821
2,-0.13106006780127016
3,-0.2405913203451714
4,-0.347373451594337
5,-0.41809844719514755
6,-0.48227883629821866
7,-0.566570932162862
8,-0.6707376615193095
9,-0.7470879069367214
10,-0.7933865268404187
11,-0.8333996669026259
12,-0.9284029270359011
13,-0.9285902160147067
14,-0.9863918349872559
15,-1.0086717287963813
16,-1.0331288049417244
17,-1.0528370163511847
18,-1.0589873511400119
19,-1.063909393243503
20,-1.1020808495070373
21,-1.0845072571747445
22,-1.1353880328683987
23,-1.1235447620603263
24,-1.11953547330971
25,-1.1415616541846856
26,-1.1631952516728625
27,-1.170899746000301
28,-1.1651980811080898
29,-1.154810580390892
30,-1.1822985274446092
31,-1.1690060118091385
32,-1.1706296526761526
33,-1.159218850878916
34,-1.1683450827723705
35,-1.1681737708392563
36,-1.191056715989465
37,-1.1833319615208369
38,-1.1678762929952144
39,-1.1565490386716677
40,-1.2144907766901403
41,-1.1619335627064389
42,-1.1681867190130257
43,-1.1823378884691065
44,-1.1954809187476503
45,-1.209779820057859
46,-1.1769788010060336
47,-1.1694617068588242
48,-1.1750374482152695
49,-1.187035475859885
50,-1.2083127931264979
51,-1.2415991531314667
52,-1.2193405268819673
53,-1.207786153689911
54,-1.248194181057927
55,-1.215886481603752
56,-1.2164096291528093
57,-1.2121668445414489
58,-1.2507216553291765
59,-1.241104625679544
60,-1.2373197434367247
61,-1.2526066042249873
62,-1.1949518200841178
63,-1.2401050480136488
64,-1.2239838642842102
65,-1.236049236591157
66,-1.1994697935955032
67,-1.2049486644697094
68,-1.218868194311798
69,-1.275754384680826
70,-1.2307682366907415
71,-1.2182407797596464
72,-1.2119266576651786
73,-1.2444450501019337
74,-1.1957206060342185
75,-1.258638929899155
76,-1.2455279821003538
77,-1.2136627364885095
78,-1.2314492791915483
79,-1.1924502004466226
